Sample,Mean,Feature
Wisteria_floribunda,76.93333333,Vessel_walls
Wisteria_floribunda,57.93333333,Vessel_walls
Wisteria_floribunda,87.93333333,Vessel_walls
Wisteria_floribunda,109.9333333,Vessel_walls
Wisteria_floribunda,98.93333333,Vessel_walls
Wisteria_floribunda,84.93333333,Vessel_walls
Wisteria_floribunda,107.9333333,Vessel_walls
Wisteria_floribunda,84.93333333,Vessel_walls
Wisteria_floribunda,75.93333333,Vessel_walls
Wisteria_floribunda,100.9333333,Vessel_walls
Wisteria_floribunda,107.9333333,Vessel_walls
Wisteria_floribunda,99.93333333,Vessel_walls
Wisteria_floribunda,61.93333333,Vessel_walls
Wisteria_floribunda,80.93333333,Vessel_walls
Wisteria_floribunda,50.93333333,Vessel_walls
Wisteria_floribunda,113.9333333,G_fibers_walls
Wisteria_floribunda,106.9333333,G_fibers_walls
Wisteria_floribunda,111.9333333,G_fibers_walls
Wisteria_floribunda,110.9333333,G_fibers_walls
Wisteria_floribunda,116.9333333,G_fibers_walls
Wisteria_floribunda,107.9333333,G_fibers_walls
Wisteria_floribunda,109.9333333,G_fibers_walls
Wisteria_floribunda,110.9333333,G_fibers_walls
Wisteria_floribunda,114.9333333,G_fibers_walls
Wisteria_floribunda,132.9333333,G_fibers_walls
Wisteria_floribunda,108.9333333,G_fibers_walls
Wisteria_floribunda,112.9333333,G_fibers_walls
Wisteria_floribunda,123.9333333,G_fibers_walls
Wisteria_floribunda,122.9333333,G_fibers_walls
Wisteria_floribunda,107.9333333,G_fibers_walls
Wisteria_floribunda,141.9333333,G_fibers_walls
Wisteria_floribunda,135.9333333,G_fibers_walls
Wisteria_floribunda,136.9333333,G_fibers_walls
Wisteria_floribunda,122.9333333,G_fibers_walls
Wisteria_floribunda,120.9333333,G_fibers_walls
Wisteria_floribunda,125.9333333,G_fibers_walls
Wisteria_floribunda,136.9333333,G_fibers_walls
Wisteria_floribunda,138.9333333,G_fibers_walls
Wisteria_floribunda,136.9333333,G_fibers_walls
Wisteria_floribunda,137.9333333,G_fibers_walls
Wisteria_floribunda,145.9333333,G_fibers_walls
Wisteria_floribunda,141.9333333,G_fibers_walls
Wisteria_floribunda,131.9333333,G_fibers_walls
Wisteria_floribunda,144.9333333,G_fibers_walls
Wisteria_floribunda,141.9333333,G_fibers_walls
Wisteria_floribunda,126.9333333,Sclerenchyma_cell_walls
Wisteria_floribunda,148.9333333,Sclerenchyma_cell_walls
Wisteria_floribunda,153.9333333,Sclerenchyma_cell_walls
Wisteria_floribunda,127.9333333,Sclerenchyma_cell_walls
Wisteria_floribunda,132.9333333,Sclerenchyma_cell_walls
Wisteria_floribunda,121.9333333,Sclerenchyma_cell_walls
Wisteria_floribunda,113.9333333,Sclerenchyma_cell_walls
Wisteria_floribunda,130.9333333,Sclerenchyma_cell_walls
Wisteria_floribunda,131.9333333,Sclerenchyma_cell_walls
Wisteria_floribunda,141.9333333,Sclerenchyma_cell_walls
Wisteria_floribunda,132.9333333,Sclerenchyma_cell_walls
Wisteria_floribunda,149.9333333,Sclerenchyma_cell_walls
Wisteria_floribunda,152.9333333,Sclerenchyma_cell_walls
Wisteria_floribunda,155.9333333,Sclerenchyma_cell_walls
Wisteria_floribunda,120.9333333,Sclerenchyma_cell_walls
Wisteria_floribunda,40.93333333,Cork_cell_walls
Wisteria_floribunda,35.93333333,Cork_cell_walls
Wisteria_floribunda,63.93333333,Cork_cell_walls
Wisteria_floribunda,65.93333333,Cork_cell_walls
Wisteria_floribunda,53.93333333,Cork_cell_walls
Wisteria_floribunda,47.93333333,Cork_cell_walls
